N,P,K,Temperature,Humidity,pH,Rainfall,Label
94.9816047538945,59.01428612819832,54.6398788362281,28.979877262955547,73.12037280884873,5.733991780504304,158.71254182522992,Rice
114.6470458309974,52.022300234864176,54.161451555920905,20.308767414437035,89.39819704323989,6.7486639612006325,181.85086660174142,Rice
87.27299868828402,43.66809019706868,46.08484485919075,27.871346474483566,78.63890037284231,5.936843710297063,241.77793420835692,Rice
85.57975442608168,45.84289297070436,47.327236865873836,26.84104976325554,85.70351922786027,5.799510673237539,227.13516576204174,Rice
103.6965827544817,40.92900825439995,52.150897038028766,22.557861855309373,71.30103185970559,6.92332830588,294.8448049611839,Rice
112.33589392465845,46.09227538346741,41.953442280127675,30.263495397682355,78.80304987479202,5.683057352267168,224.27653651669053,Rice
81.37554084460874,58.186408041575646,45.17559963200034,29.937834265309732,76.23422152178821,6.280102031766717,232.00654190149194,Rice
87.39417822102108,59.39169255529117,55.502656467222295,34.09248412346284,87.89654700855297,6.396849968216628,288.2811352534675,Rice
83.53970008207678,43.919657248382904,40.90454577821076,24.879954961448966,77.77354579378964,5.9070235476608435,274.3106263727894,Rice
94.27013306774357,45.61869019374762,50.85392166316497,22.113863374621438,86.0439396150808,5.611825965519656,298.0330404900776,Rice
110.8897907718663,43.97431363068345,40.11044234247205,32.23192142682251,84.13714687695234,6.593510752061481,265.6905520028919,Rice
82.96178606936361,47.169314570885454,42.317381190502594,32.946551388133905,82.46596253655116,5.996347037278974,159.53375254290356,Rice
92.4392928686265,46.50366644053494,54.59212356676128,29.563362070328196,87.74425485152653,6.208322387742924,167.93913689074526,Rice
108.5297914889198,55.21570097233795,51.22554395138992,31.564507699318415,79.87591192728782,6.284099244072991,214.13115275378243,Rice
81.0167650697638,42.15782853986609,40.628583713734685,29.546156168956706,76.28711962152653,6.2628560367470545,286.13497108891397,Rice
89.971689165955,48.207658460712594,55.11102277086097,23.431972482374338,71.53959819657587,5.934627179370652,174.18319308810067,Rice
117.18790609370292,56.16240759128834,52.66807513020847,33.07190885281577,86.07344153798229,5.779855088329054,283.88384977349665,Rice
101.57368967662603,56.14880310328125,57.92182599846986,24.77005212457796,72.20103849055353,5.841902743812913,214.06616829393846,Rice
112.72059063689971,57.21461166512687,40.13904261062381,27.661209538663485,78.34822006297559,5.833161715706096,167.97980510005243,Rice
93.50460685614512,58.858194078250385,46.464058640415104,27.781859326150492,84.06037917790356,6.045444403568941,295.7673124081441,Rice
